Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C2, C4, C6, C7",0805,8,0.1uF,C49678
"C12, C3, C5, C9",0805,4,10uF,C15850
"C17, C8",0805,2,1uF,C89378
"D1, D2",D_SOD-323,2,1N5819WS,C191023
"D3, D4",SOT143B,2,PRTR5V0U2X_215,C2827688
"D5, D6",0603,2,LED,C2286
"J1, J2",HRO_TYPE-C-31-M-12,2,USB_C_Receptacle_USB2.0_16P,C165948
"J3, J4",PinSocket_2x05_P2.00mm_Vertical,2,Connector_Generic:Conn_02x05_Top_Bottom,C225304
"MK1, MK2, MK3, MK4",InvenSense_ICS-43434-6_3.5x2.65mm,4,ICS-43434,
"MOUSE-BITE-3MM-SLOT, MOUSE-BITE-3MM-SLOT-2, MOUSE-BITE-3MM-SLOT-3, MOUSE-BITE-3MM-SLOT-4, MOUSE-BITE-3MM-SLOT-5, MOUSE-BITE-3MM-SLOT-6",mouse-bite-3mm-slot,6,0,
"R1, R2, R6, R7",0805,4,5.1K,C27834
"R10, R5",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,0,
"R11, R13",0603,2,10K,C25804
"R12, R14, R20, R21",0603,4,1K,C21190
"R3, R4, R8, R9",0805,4,100k,C149504
"U1, U8",ESP32-S3-WROOM-1U,2,ESP32-S3-WROOM-1U-N8R8,C2980300
U3,SOT-223-3_TabPin2,1,LT1963AxST-3.3,C459918
