Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C14, C18, C19, C2, C4, C6, C7",0805,10,0.1uF,
"C16, C20, C3, C5, C9",0805,5,10uF,
C8,0805,1,1uF,
"D1, D2",D_SOD-323,2,1N5819WS,
D4,SOT143B,1,PRTR5V0U2X_215,
"D5, D7",0603,2,LED,
"J1, J2",HRO_TYPE-C-31-M-12,2,USB_C_Receptacle_USB2.0_16P,
J10,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02,
J11,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08_Socket,
"J3, J4",PinSocket_2x05_P2.00mm_Vertical,2,Connector_Generic:Conn_02x05_Top_Bottom,
"J5, J6",GCT_BD050-10-A-1-0500-L-D,2,BD050-10-A-0-0500-L-D,
"J7, J8",PinHeader_2x06_P2.54mm_Vertical,2,Conn_02x06,
J9,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_02x01,
"MK1, MK2, MK5, MK6",MIC_CMM-4030D-261-I2S-TR,4,MSM261S4030H0R,
"MOUSE-BITE-3MM-SLOT, MOUSE-BITE-3MM-SLOT-2, MOUSE-BITE-3MM-SLOT-3, MOUSE-BITE-3MM-SLOT-4, MOUSE-BITE-3MM-SLOT-5, MOUSE-BITE-3MM-SLOT-6, MOUSE-BITE-3MM-SLOT-7, MOUSE-BITE-3MM-SLOT-8",mouse-bite-3mm-slot,8,0,
Q1,SOT-23,1,BSS138,
"R1, R2, R6, R7",0805,4,5.1K,
"R10, R13",0805,2,10k,
R11,0603,1,10K,
"R12, R15, R20",0603,3,1K,
"R3, R4, R8, R9",0805,4,100k,
R5,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,0,
SW1,SW_SPST_PTS647_Sx38,1,SW_Push,
SW2,OS102011MA1QN1_CNK,1,OS102011MA1QN1,
U1,ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1U-N8R8,
"U2, U3",SOT-223-3_TabPin2,2,LT1963AxST-3.3,
